testName,passed,shouldPass,nSteps,OverallTime,LLMTime,PreprocTime,PlaywrightTime
./NL_tests/test2.txt,false,true,5,53.94124309299999,26.410351458999994,16.360761993,1.1158251310000014
./NL_tests/test2.txt,false,true,5,49.757717723,20.387967145999994,13.32040652500001,1.0048202189999975
./NL_tests/test2.txt,true,true,5,35.219201998,17.994831969000003,11.266385319000001,0.9538938700000036
./NL_tests/test2.txt,false,true,5,72.45429762100001,34.83518816400001,21.396106654000015,1.2122544830000024
./NL_tests/test2.txt,false,true,5,33.351976199000006,8.269713658000006,5.0714191970000035,0
./NL_tests/test2.txt,false,true,5,6.086352926,2.9766299449999987,3.0399889580000017,0.06820549600000049
./NL_tests/test2.txt,false,true,5,223.74439176699997,188.47370092999998,14.281590237999954,0.9754239600000055
./NL_tests/test2.txt,false,true,5,23.308650824999997,8.173506242000002,5.113263044000001,0
./NL_tests/test2.txt,false,true,5,72.53965227100002,26.149224404,15.323205836000014,1.0549269649999933
./NL_tests/test2.txt,true,true,5,42.819254781,19.46562174200001,12.281068175999994,1.0647785820000044
./NL_tests/test3.txt,false,true,9,60.152622803,23.79672206699999,15.307900159000006,1.0394919649999992
./NL_tests/test3.txt,true,true,9,57.462981411,31.37145550500001,19.563369745999992,1.4977940079999987
./NL_tests/test3.txt,false,true,9,47.786839897,23.337715550000006,13.27069576799999,1.1691018560000048
./NL_tests/test3.txt,false,true,9,32.456027596,7.380815608000001,5.0674977929999985,0
./NL_tests/test3.txt,false,true,9,32.349370916,7.265504093,5.072259884,0
./NL_tests/test3.txt,false,true,9,58.860276354999996,22.452208472999992,15.327121657999998,1.0688196590000008
./NL_tests/test3.txt,false,true,9,32.640873359000004,7.552090153999999,5.074543836999995,0
./NL_tests/test2.txt,false,true,5,32.317687206,7.230617609999998,5.075889233000002,0
./NL_tests/test2.txt,false,true,5,34.040388744,8.953017037,5.074592683000004,0
./NL_tests/test2.txt,false,true,5,32.574567704,7.495244916000003,5.071242408000003,0
./NL_tests/test2.txt,false,true,5,32.990675929999995,7.907395614000001,5.072643104999998,0
./NL_tests/test2.txt,false,true,5,33.091168786,8.005544347999995,5.0758776329999975,0
./NL_tests/test2.txt,false,true,5,33.266773645,18.79209203999999,13.267555051,1.2022928670000037
./NL_tests/test2.txt,false,true,5,63.48880633500001,31.203024239999984,11.293118106000005,0.9808315750000002
./NL_tests/test2.txt,false,true,5,33.522353323000004,8.439252525999999,5.070511332000002,0
./NL_tests/test2.txt,false,true,5,13.520357195000003,8.442853754,5.072822955999996,0
./NL_tests/test2.txt,false,true,5,50.081572574,17.904574628999995,11.260724069000004,0.9048716349999978
./NL_tests/test2.txt,false,true,5,51.789188675999995,19.570696741000003,11.267009817000002,0.9394631749999989
./NL_tests/test2.txt,false,true,5,52.540812552,22.161548541000002,14.300656077999994,1.0666989810000032
./NL_tests/test2.txt,false,true,5,46.437259512,16.49799295299999,9.218556025999993,0.7106949790000017
./NL_tests/test2.txt,false,true,5,50.87225720000001,18.71053470400001,11.257150448,0.8933995980000053
./NL_tests/test2.txt,false,true,5,50.583666722000004,21.025993802000002,13.309165244000013,1.2374331559999936
./NL_tests/test2.txt,true,true,5,32.402995282,21.049881775000003,10.268483788000005,1.0810332909999942
./NL_tests/test1.txt,true,true,5,30.454872572999996,18.94991855,10.37458922,1.120149017000005
./NL_tests/test3.txt,false,true,9,54.749241784000006,22.441929838000007,11.295857032000004,1.0034718100000026
./NL_tests/test3.txt,false,true,9,14.378371902,9.305341086999999,5.069877625999996,0
./NL_tests/test3.txt,false,true,9,54.461720791000005,22.124789829,11.299688726000007,1.0275863730000019
./NL_tests/test3.txt,false,true,9,60.14811357799999,25.767152387000003,13.326240737999996,1.041655561999998
./NL_tests/test2.txt,false,true,5,34.28268996400001,21.83320627,11.304272030999998,1.1409685680000003
./NL_tests/test2.txt,true,true,5,47.314530598,23.886981489000007,12.309712215000006,1.109796028000006
./NL_tests/test3.txt,false,true,9,56.43842648100001,26.616763810000002,13.340366515999989,1.4691594590000023
./NL_tests/test3.txt,true,true,9,57.822689187000016,38.753886750999996,17.532515030000006,1.5300715820000095
./NL_tests/test7.txt,true,true,2,6.3099797419999994,4.145201109000001,2.046962599000002,0.11537214400000084
./NL_tests/test4.txt,true,true,3,12.860882749000002,8.355927172000005,4.150824203000004,0.3514273430000012
./NL_tests/test7.txt,true,true,3,10.225133943000001,7.042015685000001,3.0687137229999975,0.11148198500000035
./NL_tests/test7.txt,false,true,3,9.522437316000001,6.257534171,3.064270370000002,0.19806458399999974
